	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ABLIM3	60.0764566652458	63.0897297693433	127.32935290521	150.813244571306	107.11574674328	75.7304392637465	85.1892073043827	90.9368674305982
ABO	0.639111241119636	2.13863490743537	0.832217992844512	1.78477212510421	0	3.56378537711748	2.07778554400933	2.67461374795877
ABP1	1.27822248223927	0	2.49665397853354	0.892386062552105	1.53022495347543	0	2.07778554400933	2.67461374795877
ABR	2082.86353480889	2047.74292386936	1756.81218289476	1715.16601222515	1586.84327675402	2079.46876754805	1977.01294512488	2174.46097709048
ABRA	0	0	0	0	0	0	0	0
ABT1	2351.29025607914	2261.6064146129	1638.63722791084	1689.28681641113	1430.76033149952	1998.39265021863	1952.07951859677	1896.30114730277
ABTB1	123.34846953609	118.694237362663	183.087958425793	184.723914948286	197.39901899833	155.91561024889	173.495092924779	144.429142389774
ABTB2	816.784166150895	800.918772834544	666.606612268454	667.504774788974	567.713457739383	637.02663615975	613.985628254758	659.292288871837
ACAA1	798.249940158425	869.355089872476	781.452695280997	873.645955238511	703.903478598696	920.34757364059	836.308681463757	936.114811785569
ACAA2	818.701499874254	846.899423344405	821.399158937533	883.462201926584	912.014072271353	929.257037083384	902.797818872056	900.007526188126
ACACA	4439.26668081699	4115.80287935936	3818.21615117062	3586.49958539691	3674.0701132945	3626.15162121704	3869.87557571739	3820.6857389591
ACACB	506.815214207871	457.667870191168	466.042075992927	478.318929527928	411.630512484889	492.693328386492	482.046246210166	485.442395254517
ACAD10	601.403677893577	581.708694822419	512.646283592219	539.893567844023	478.960410437808	405.380586647114	394.779253361774	415.902437807589
ACAD11	93.3102412034668	79.1294915751085	102.362813119875	129.395979070055	104.055296836329	75.7304392637465	97.6559205684387	94.9487880525363
ACAD8	692.157474132566	657.630234036375	571.73376108418	575.589010346108	560.062332972006	597.824997011458	578.6632740066	623.185003274393
ACAD9	1882.82171633845	1874.5134963671	1486.3413352203	1504.56290146285	1533.28540338238	1879.89678642947	1805.59563774411	1830.77311047778
ACADL	105.45335478474	95.1692533808738	95.7050691771189	83.8842898798978	99.4646219759026	130.969112609068	132.978274816597	116.345698036206
ACADM	2328.28225139883	2366.39952507723	2061.40396827586	1972.17319824015	2218.82618253937	1904.8432840693	2005.06304996901	1889.61461293287
ACADS	141.24358428744	191.407824215465	233.853255989308	241.83662295162	224.943068160888	187.098732298668	172.456200152775	193.909496727011
ACADSB	1344.05094007459	1378.35019784209	1013.64151528462	1013.75056705919	1083.3992670606	1239.30636489261	1286.14925174178	1211.60002782532
ACADVL	1108.21889210145	1300.2900237207	1569.56313450475	1756.21577110254	1730.68442238071	1007.66031537997	956.820243016298	1171.48082160594
ACAN	15.9777810279909	11.7624919908945	34.9531556994695	25.879195814011	36.7253988834102	8.90946344279371	13.5056060360607	9.3611481178557
ACAP1	3.83466744671782	3.20795236115305	6.6577439427561	7.13908850041684	7.65112476737713	8.90946344279371	2.07778554400933	4.01192062193816
