gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	ABCA8	43.0593542427917	-0.601103305380514	0.197785759211143	-3.06213604333413	0.00219763547373382	0.0100153796882246
2	ABCB10	1483.44155508834	-0.752273308766427	0.0776120174402136	-9.6992617844745	3.03687882699265e-22	4.6377903419671e-20
3	ABCD2	43.9193595855086	-0.789316623747522	0.19859784640205	-4.1201742805401	3.78585922565562e-05	0.000317738842446323
4	ABCG1	111.541849399807	-1.07428613127214	0.163910152192155	-6.60463590251917	3.9849550245725e-11	1.32071583867587e-09
5	ACHE	88.3289273993494	0.742247927807379	0.17586937759682	4.19020772019796	2.7869920137638e-05	0.000243482751533363
6	ACOXL	92.1215367655233	-1.30519134139078	0.169684439982813	-7.5503398190542	4.34124027490521e-14	2.42378135348382e-12
7	ACPP	88.4663117399324	-0.692610136229554	0.172933008276589	-4.037478098928	5.40288870058906e-05	0.000433818542727194
8	ACRC	103.036852367383	1.11313445121421	0.160156252552809	6.91381619460464	4.71786393705056e-12	1.85113769640898e-10
9	ACSBG1	20.0807177478595	0.853190977776089	0.207031129687631	3.87934247847382	0.000104739201827168	0.000763821417070128
10	ACTA2	267.836105952352	1.49916326492261	0.116509450343795	12.8118155547053	1.40801118473294e-37	7.83306793735177e-35
11	ACTBL2	48.8995181394735	0.63208829948324	0.188194570423449	3.39386411539697	0.000689138779356686	0.00377982914297151
12	ACTN2	527.98355894222	0.676289190799524	0.0965001351449555	7.00703753735654	2.4341697718588e-12	1.00309689249324e-10
13	ACVRL1	81.1402152699527	-1.3741326881467	0.177147562759002	-7.62562052911581	2.42863273209546e-14	1.41159746521832e-12
14	ADAM8	95.8540897335149	0.754167604968673	0.158086927639212	4.78455253559693	1.71368671985821e-06	2.09201395260433e-05
15	ADAM9	1345.83432569461	0.630456183277767	0.075361557753073	8.35565026084493	6.50732425014457e-17	5.33497841286852e-15
16	ADAMTS2	172.933910328289	0.78829491588805	0.142195569692658	5.50964696457385	3.59554090680035e-08	6.82189289954068e-07
17	ADH1C	18.6604468332324	0.930318067396284	0.207250047638934	4.07575017383483	4.58662410616808e-05	0.000376824070157069
18	AGAP11	78.4651177345405	-0.825560699098707	0.178694727070292	-4.74526172975911	2.08236904272412e-06	2.48022661483098e-05
19	AGAP5	100.375711047488	0.646375053191681	0.158472130100077	4.07873288823307	4.52818271389461e-05	0.000372219008624466
20	AHNAK	1304.73763936323	0.865714937234914	0.090766318890295	9.51087380204962	1.89067642831107e-21	2.60628909060191e-19
21	AIM1	108.501733353365	-0.874134017596108	0.17033360604013	-5.20866569394148	1.90203454252117e-07	3.00791797653322e-06
22	AKAP7	332.819324501385	-0.696051963126448	0.1068216195797	-6.50157717893945	7.94822399453131e-11	2.55277288995493e-09
23	AKR1C3	29.4870541474266	-0.591819259610693	0.205923541277706	-3.05767351024125	0.00223062462661789	0.0101390253308512
24	AKT3	3308.65194469616	-0.961702378364251	0.0631210852267548	-15.2542053882794	1.54362711169009e-52	2.40450795187966e-49
25	ALDH1A1	34.80020427718	-0.991606722694863	0.202800994209158	-4.85151177472587	1.22523934355335e-06	1.56567294951029e-05
26	ALDH1L2	125.109706849507	-0.747648751908082	0.159189486725049	-4.82341282560537	1.41122460676131e-06	1.76766377190156e-05
27	AMMECR1	1540.84050771234	-0.786416803300267	0.0765160930018546	-10.2729660368852	9.3291469812432e-25	1.8872743185302e-22
28	AMOT	24418.1290244355	-0.620223666618517	0.0470906089998916	-13.1661637568758	1.37403988954737e-39	8.23208436903052e-37
29	ANGPTL2	16.8527848815179	0.62403162326959	0.206309729788483	2.98149472264349	0.00286844990548992	0.0125204426597296
30	ANKRD1	121.186955748185	1.18439182516705	0.158162599044227	7.442863367007	9.85259792726157e-14	5.1795466727319e-12
31	ANKRD52	4097.52744412693	0.726422679671142	0.0592270947579428	12.2776208505475	1.19459762718541e-34	5.31664206819059e-32
32	ANP32E	6811.10229430876	-0.58882627998113	0.0668135281524443	-8.81712579292556	1.17435282610904e-18	1.1726214084808e-16
33	ANXA3	281.481342515195	-1.01895202190033	0.116454553405243	-8.72808542208781	2.59019990456369e-18	2.50605862816078e-16
34	AP3B2	134.888766034663	0.696373286995509	0.146538513574532	4.75393091510247	1.99499231931361e-06	2.39046118138062e-05
35	APC2	49.0952772989345	0.604668550582101	0.195958905472547	3.07031138689974	0.0021383570061402	0.00979106028355259
36	APLP2	8392.249966235	1.17874468146948	0.0550168211840277	21.4198115289986	8.73415401388544e-102	1.36051917074293e-97
37	AQP1	14.6903165977632	0.603243373173784	0.203779181550391	2.94755259616733	0.00320300259654051	0.0137257693112274
38	ARC	220.482471109228	0.695430320280978	0.126630001322695	5.52376380149473	3.3181347131825e-08	6.34970324659014e-07
39	ARFIP1	994.257227465463	0.668446788250363	0.0867380042658932	7.69609294633497	1.40289779570815e-14	8.37277354932789e-13
40	ARHGAP33	506.606332091403	-0.751228290786255	0.0986516207874794	-7.59796379448687	3.00826461816277e-14	1.71647391784328e-12
41	ARHGAP4	64.1969564705348	0.857367336159802	0.183386329742666	4.65277997494696	3.27489635935934e-06	3.7019637583266e-05
42	ARHGEF16	287.927800824627	-0.839593044622856	0.112601182261859	-7.44255515782042	9.87562022084725e-14	5.1795466727319e-12
43	ARHGEF19	99.6478219016813	-0.598645692622271	0.163017206506251	-3.62437270262795	0.000289663645438989	0.00183941728699679
44	ARNT	1921.20148224917	-0.607896022259713	0.0630798857962322	-9.63566223953975	5.65263281630611e-22	8.22907115697199e-20
