gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	A4GALT	64.5409534041046	0.794994381148492	0.172543314647547	4.51420812457025	6.3553782070136e-06	4.11120125957852e-05
2	ABCA1	108.221084734236	0.82969898295958	0.152711388266325	5.35523352524605	8.54459882695647e-08	8.28762241142596e-07
3	ABCA6	6.12494272420089	-0.602916037681676	0.181039631733095	-3.19148496918285	0.00141543475493329	0.00496880038885764
4	ABCA9	11.2265541551292	-0.828555487527564	0.199847324790244	-3.91901868603829	8.89102222254862e-05	0.000428513159531683
5	ABCB4	137.150390249508	0.621806557161143	0.139864323834881	4.41274605501159	1.02067690979512e-05	6.28670787816475e-05
6	ABHD14B	493.725923706948	0.761966305349109	0.0983701578244817	7.73469798363533	1.03648863354841e-14	3.71158240109966e-13
7	ABI3BP	40.7900980372836	0.650177180231698	0.196024290497978	3.23984893198326	0.00119593041911883	0.00428647219020111
8	ABL2	1755.78005845498	0.684955117327549	0.0640920385230566	10.6832153663811	1.21972349179934e-26	1.89996328317584e-24
9	ACADVL	1325.11670297654	0.666287460948815	0.0783177880563608	8.50479262529093	1.8192047740166e-17	9.60601788639208e-16
10	ACAN	19.6342801265608	0.820151336138745	0.207698339241238	3.79857070406015	0.000145532915160291	0.000666754770427018
11	ACCN2	853.019923894425	0.640061458157283	0.0806189653520625	7.93219356426513	2.15308497770956e-15	8.62174927963543e-14
12	ACE	151.2896081189	0.861803913531709	0.13625974494549	6.27296516451527	3.54236184544322e-10	5.52899503672035e-09
13	ACHE	88.3289273993494	1.55304779531308	0.16411669315439	9.21496820198744	3.11370579536631e-20	2.50011315332067e-18
14	ACSF2	375.304916014202	0.664110011557534	0.0969782138759716	6.83259471492493	8.33923100035408e-12	1.75303915374515e-10
15	ACSL6	174.872947904839	0.609587953981303	0.127606193599758	4.75901026401582	1.94544543878094e-06	1.40557530611738e-05
16	ACTBL2	48.8995181394735	-1.02084904753661	0.19260902330416	-5.43271363537404	5.55034417382421e-08	5.58151783057842e-07
17	ACTL8	14.6904232984731	-0.777284631227009	0.20515881910947	-3.93430385494349	8.34381743833845e-05	0.000404726260977913
18	ACTR3B	532.892434582908	-0.61943043215465	0.0840679589760393	-7.36119897978904	1.82265638092275e-13	5.25768860104328e-12
19	ACTR3BP5	15.4385897416359	-0.596415384755783	0.206277823359178	-2.81304820280505	0.00490742941136017	0.0146639224900743
20	ACVR1C	208.045088811119	0.787839355955186	0.124733956548064	6.28890307656672	3.19716995716186e-10	5.06121101856812e-09
21	ADAM21	25.3607368983834	0.613911411270945	0.206358949765765	2.89892349673385	0.00374446246493151	0.0115982286371521
22	ADAMTS1	9567.07025319139	1.00840055897418	0.066934240882463	15.063611498987	2.81007517565936e-51	2.73578381320287e-48
23	ADAMTS10	166.43796087817	0.908126173936525	0.133100764217517	6.78790533795107	1.13773257293012e-11	2.33805544703594e-10
24	ADAMTS16	86.6560150670869	-0.642084160532654	0.169107788088521	-3.84094219703662	0.000122562975068218	0.000572462807387594
25	ADAMTS2	172.933910328289	1.0314414341675	0.132815627195716	7.73840492244581	1.00671789833222e-14	3.6132821894749e-13
26	ADAMTS7	87.1997807706864	1.07566318099506	0.165577258428702	6.42729876527473	1.29891376154476e-10	2.20645361653029e-09
27	ADAMTSL3	63.7719733374149	0.838488110780974	0.175752537477593	4.73425688330192	2.19859127334223e-06	1.56954428344876e-05
28	ADAMTSL4	38.2840946089114	0.599227223329332	0.195564285006791	3.02357419575517	0.00249807764529917	0.00814751999179758
29	ADCY10	34.9375744053971	0.594304309909299	0.199850431337981	2.89654399422885	0.00377297736259857	0.0116656745488682
30	ADCYAP1R1	94.9068286105217	1.06939075019711	0.155196855237628	6.79399979841708	1.09066537428429e-11	2.25322208690005e-10
31	ADH1C	18.6604468332324	-0.704707517833391	0.20610997773293	-4.03336656396517	5.49834080629165e-05	0.000281180744384783
32	ADI1	2307.91910542143	-0.650698267208143	0.0581172511361566	-11.1969939416697	4.21804284619197e-29	9.1256185298795e-27
33	ADM2	45.2161188986041	0.712791479640101	0.189985943467969	3.63565720163356	0.000277272845306729	0.0011855830665229
34	ADSSL1	88.0211533856729	0.634728808238007	0.164096885061423	3.86554841266528	0.000110839859042422	0.000523991649257605
35	AGAP2	67.6789028254102	1.12524810492962	0.177711550688542	6.16179801538074	7.19235569086487e-10	1.06396319654893e-08
36	AGPAT3	1873.50627762369	-0.622238337841064	0.0576200371879244	-10.7989103767929	3.48312415320265e-27	5.96011265372468e-25
37	AGRN	1766.29154420093	0.803305010129165	0.0748553613609007	10.7302833222292	7.33708715689744e-27	1.19051881919783e-24
38	AGXT2L2	468.680654495973	0.602409830378509	0.0863914883526756	6.96360882239109	3.31664741827782e-12	7.4874517151469e-11
39	AHNAK	1304.73763936323	0.864103552094024	0.083047883147086	10.4063818118669	2.31867370528114e-25	3.28345275519675e-23
40	AIFM2	303.072704990699	-0.593875838111896	0.101111245849684	-5.86445611449902	4.50607251839896e-09	5.70195707709997e-08
41	AK7	33.3380678220804	0.600892533683287	0.198270612197497	2.91461668013821	0.00356125656954559	0.011096958108384
42	AKNA	352.74741837837	0.643089346813575	0.0962495396586926	6.65704596146542	2.79385841174637e-11	5.33982910674144e-10
43	ALDH1A3	351.621504437865	0.633575270977321	0.0935091297219171	6.75200804532474	1.4581278843937e-11	2.96517729180165e-10
44	ALDH1L1	24.6666290492656	0.68836082817884	0.206521838016001	3.20587034843908	0.00134654644464119	0.00476599726611583
